molecular_profile	molecular_profile_id	disease	doid	phenotypes	therapies	assertion_type	assertion_direction	significance	acmg_codes	amp_category	nccn_guideline	nccn_guideline_version	regulatory_approval	fda_companion_test	assertion_summary	assertion_description	assertion_id	evidence_item_ids	last_review_date	assertion_civic_url	evidence_items_civic_url	molecular_profile_civic_url	is_flagged
ERBB2 Amplification	302	Her2-receptor Positive Breast Cancer	0060079		Trastuzumab	Predictive	Supports	Sensitivity/Response		Tier I - Level A	Breast Cancer	3.2017	true	true	HER2 amplification predicts sensitivity to Trastuzumab	HER2 amplification defines a clinically relevant subtype of breast cancer. HER2 amplification predicts sensitivity to various targeted therapies including the monoclonal antibody Trastuzumab. The use of Trastuzumab, often in combination with chemotherapy and/or endocrine therapy (depending on hormone receptor status), is now standard of care for HER2-positive breast cancer patients.	2	1122,529,528	2023-02-06 15:12:25 UTC	https://civicdb.org/links/assertions/2	https://civicdb.org/links/evidence_items/1122,https://civicdb.org/links/evidence_items/529,https://civicdb.org/links/evidence_items/528	https://civicdb.org/links/assertions/2	https://civicdb.org/links/molecular_profiles/302	false
ALK Fusion	495	Lung Non-small Cell Carcinoma	3908		Crizotinib	Predictive	Supports	Sensitivity/Response		Tier I - Level A	Non-Small Cell Lung Cancer	9.2017	true	true	Lung adenocarcinoma positive for ALK-FUSIONS have been found to be sensitive to crizotinib treatment	ALK-FUSIONS induce an active form of the receptor tyrosine kinase ALK. ALK-FUSIONS are found in 3-5% of non-small cell lung cancer and act as a targetable driver mutation. the ALK inhibitor crizotinib was found to be effective in lung cancer patients with ALK fusions and was granted accelerated FDA approval in 2011. The Vysis break-apart FISH assay is an FDA approved test for the presence of ALK fusion. Crizotinib has been approved as a first-line NSCLC treatment in the presence of ALK fusions but subsequently, alectinib has become the preferred first-line therapy (refer to civic.aid:34 for further details).	3	1198,1187,1207,262,1691,1200,1419,1201,1356,1193,1190,1196,1189,1245,1197,1577,4858,1199	2023-02-03 22:17:05 UTC	https://civicdb.org/links/assertions/3	https://civicdb.org/links/evidence_items/1198,https://civicdb.org/links/evidence_items/1187,https://civicdb.org/links/evidence_items/1207,https://civicdb.org/links/evidence_items/262,https://civicdb.org/links/evidence_items/1691,https://civicdb.org/links/evidence_items/1200,https://civicdb.org/links/evidence_items/1419,https://civicdb.org/links/evidence_items/1201,https://civicdb.org/links/evidence_items/1356,https://civicdb.org/links/evidence_items/1193,https://civicdb.org/links/evidence_items/1190,https://civicdb.org/links/evidence_items/1196,https://civicdb.org/links/evidence_items/1189,https://civicdb.org/links/evidence_items/1245,https://civicdb.org/links/evidence_items/1197,https://civicdb.org/links/evidence_items/1577,https://civicdb.org/links/evidence_items/4858,https://civicdb.org/links/evidence_items/1199	https://civicdb.org/links/assertions/3	https://civicdb.org/links/molecular_profiles/495	false
VHL R167Q (c.500G>A)	1615	Von Hippel-Lindau Disease	14175	Renal cell carcinoma,Cerebellar hemangioblastoma,Retinal capillary hemangioma,Pheochromocytoma		Predisposing	Supports	Pathogenic	PS4,PM1,PM2,PP1,PP4						R167Q (c.500G>A) is a pathogenic variant for Von Hippel-Lindau	R167Q is the most common mutation associated with Von Hippel-Lindau syndrome. This variant is very rare in the general population at 4.061e-6 in the gnomAD exomes (v2.0.2) proving ACMG code PM2. The variant occurs within the functional domain, disrupting VHL binding to elongin C (ACMG code PM1). Additional codes are provided by the following EIDs. 4913 (PS4), 5062 (PP4), 5264 (PS4), 5354 (PP4), 5487 and 4913 (PP1).	4	5062,4913,5264,5546,5487,5485,5354	2023-01-09 21:47:55 UTC	https://civicdb.org/links/assertions/4	https://civicdb.org/links/evidence_items/5062,https://civicdb.org/links/evidence_items/4913,https://civicdb.org/links/evidence_items/5264,https://civicdb.org/links/evidence_items/5546,https://civicdb.org/links/evidence_items/5487,https://civicdb.org/links/evidence_items/5485,https://civicdb.org/links/evidence_items/5354	https://civicdb.org/links/assertions/4	https://civicdb.org/links/molecular_profiles/1615	false
EGFR L858R	33	Lung Non-small Cell Carcinoma	3908		Erlotinib,Gefitinib	Predictive	Supports	Sensitivity/Response		Tier I - Level A	Non-Small Cell Lung Cancer	3.2018	true	true	Non-small cell lung cancer with EGFR L858R mutation is sensitive to erlotininb or gefitinib.	L858R is among the most common sensitizing EGFR mutations in NSCLC, and is assessed via DNA mutational analysis including Sanger sequencing and next generation sequencing methods. Tyrosine kinase inhibitors erlotinib and gefitinib are associated with improved progression free survival over chemotherapy in EGFR L858R patients.	5	276,1665,2621,2624,3811,2634,229,4291,4290,4285,4265,885,2994	2023-02-06 15:29:44 UTC	https://civicdb.org/links/assertions/5	https://civicdb.org/links/evidence_items/276,https://civicdb.org/links/evidence_items/1665,https://civicdb.org/links/evidence_items/2621,https://civicdb.org/links/evidence_items/2624,https://civicdb.org/links/evidence_items/3811,https://civicdb.org/links/evidence_items/2634,https://civicdb.org/links/evidence_items/229,https://civicdb.org/links/evidence_items/4291,https://civicdb.org/links/evidence_items/4290,https://civicdb.org/links/evidence_items/4285,https://civicdb.org/links/evidence_items/4265,https://civicdb.org/links/evidence_items/885,https://civicdb.org/links/evidence_items/2994	https://civicdb.org/links/assertions/5	https://civicdb.org/links/molecular_profiles/33	false
EGFR L858R	33	Lung Non-small Cell Carcinoma	3908		Afatinib	Predictive	Supports	Sensitivity/Response		Tier I - Level A	Non-Small Cell Lung Cancer	3.2018	true	true	EGFR L858R positive NSCLC is sensitive to afatinib.	L858R is among the most common sensitizing EGFR mutations in NSCLC, and is assessed via DNA mutational analysis, including Sanger sequencing and next generation sequencing methods. Tyrosine kinase inhibitor afatinib is FDA approved as a first line systemic therapy in NSCLC with sensitizing EGFR mutation.	6	982,2629,2997,968,879,883	2023-02-06 15:30:37 UTC	https://civicdb.org/links/assertions/6	https://civicdb.org/links/evidence_items/982,https://civicdb.org/links/evidence_items/2629,https://civicdb.org/links/evidence_items/2997,https://civicdb.org/links/evidence_items/968,https://civicdb.org/links/evidence_items/879,https://civicdb.org/links/evidence_items/883	https://civicdb.org/links/assertions/6	https://civicdb.org/links/molecular_profiles/33	false
BRAF V600E	12	Melanoma	1909		Dabrafenib,Trametinib	Predictive	Supports	Sensitivity/Response		Tier I - Level A	Melanoma	2.2018	true	true	BRAF V600E mutant melanoma is sensitive to dabrafenib and trametinib combination therapy	Combination treatment of BRAF inhibitor dabrafenib and MEK inhibitor trametinib is recommended for adjuvant treatment of stage III or recurrent melanoma with BRAF V600E mutation detected by the approved THxID kit, as well as first line treatment for metastatic melanoma. The treatments are FDA approved based on studies including the Phase III COMBI-V, COMBI-D and COMBI-AD Trials. Combination therapy is now recommended above BRAF inhibitor monotherapy. Cutaneous squamous-cell carcinoma and keratoacanthoma occur at lower rates with combination therapy than with BRAF inhibitor alone.	7	6938,6178,3758,6940	2023-02-06 16:53:08 UTC	https://civicdb.org/links/assertions/7	https://civicdb.org/links/evidence_items/6938,https://civicdb.org/links/evidence_items/6178,https://civicdb.org/links/evidence_items/3758,https://civicdb.org/links/evidence_items/6940	https://civicdb.org/links/assertions/7	https://civicdb.org/links/molecular_profiles/12	false
NTRK1 Fusion	415	Solid Tumor			Larotrectinib	Predictive	Supports	Sensitivity/Response		Tier I - Level A			true	true	NTRK1 Fusions predict sensitivity to Larotrectinib in solid tumors	NTRK1 Fusions predict sensitivity to Larotrectinib across cancer types (solid tumors) and patient ages. Objective response rates have been reported as high as 75% in adults and over 90% in children. NTRK1 forms fusions with multiple partner genes. Larotrectinib is FDA approved for the treatment of adult and pediatric patients with solid tumors characterized by an NTRK gene fusion and without an acquired resistance mutation. Eligible patients have metastatic disease, have progressed on the treatment they’re receiving, are without other treatment options, and are not candidates for surgical resection of their tumor.	8	2955,2953,1019,978,6567,6569	2023-01-09 21:47:55 UTC	https://civicdb.org/links/assertions/8	https://civicdb.org/links/evidence_items/2955,https://civicdb.org/links/evidence_items/2953,https://civicdb.org/links/evidence_items/1019,https://civicdb.org/links/evidence_items/978,https://civicdb.org/links/evidence_items/6567,https://civicdb.org/links/evidence_items/6569	https://civicdb.org/links/assertions/8	https://civicdb.org/links/molecular_profiles/415	false
ACVR1 G328V	1594	Diffuse Midline Glioma, H3 K27M-mutant	0080684			Diagnostic	Supports	Positive		Tier II - Level C					Supports diagnosis of diffuse intrinsic pontine glioma.	ACVR1 G328V mutations occur within the kinase domain, leading to activation of downstream signaling. Exclusively seen in high-grade pediatric gliomas, supporting diagnosis of diffuse intrinsic pontine glioma.	9	6955,4846	2023-01-09 21:47:55 UTC	https://civicdb.org/links/assertions/9	https://civicdb.org/links/evidence_items/6955,https://civicdb.org/links/evidence_items/4846	https://civicdb.org/links/assertions/9	https://civicdb.org/links/molecular_profiles/1594	false
BRAF V600E	12	Melanoma	1909		Cobimetinib,Vemurafenib	Predictive	Supports	Sensitivity/Response		Tier I - Level A	Melanoma	2.2018	true	true	BRAF V600E mutant melanoma is sensitive to vemurafenib and cobimetinib combination therapy	Vemurafenib and cobimetinib combination is an FDA approved first line treatment for BRAF V600E mutant metastatic melanoma based on clinical data including the Phase III coBRIM trial. The cobas 4800 BRAF V600 Mutation Test is approved as an FDA companion test for Cotellic (cobimetinib) in combination with Zelboraf (vemurafenib).	10	6044,1421,6966	2023-02-06 15:30:09 UTC	https://civicdb.org/links/assertions/10	https://civicdb.org/links/evidence_items/6044,https://civicdb.org/links/evidence_items/1421,https://civicdb.org/links/evidence_items/6966	https://civicdb.org/links/assertions/10	https://civicdb.org/links/molecular_profiles/12	false
BRAF V600K	559	Melanoma	1909		Vemurafenib,Cobimetinib	Predictive	Supports	Sensitivity/Response		Tier I - Level A	Melanoma	2.2018	true	true	BRAF V600K mutant melanoma is sensitive to vemurafenib and cobimetinib combination therapy	Vemurafenib and cobimentinb is an FDA approved first line treatment for BRAF V600K mutant metastatic melanoma based on clinical data including the Phase III coBRIM trial. The cobas 4800 BRAF V600 Mutation Test is approved as an FDA companion test for Cotellic (cobimetinib) in combination with Zelboraf (vemurafenib).	11	6044,6966,6965	2023-02-06 15:33:52 UTC	https://civicdb.org/links/assertions/11	https://civicdb.org/links/evidence_items/6044,https://civicdb.org/links/evidence_items/6966,https://civicdb.org/links/evidence_items/6965	https://civicdb.org/links/assertions/11	https://civicdb.org/links/molecular_profiles/559	false
BRAF V600K	559	Melanoma	1909		Trametinib,Dabrafenib	Predictive	Supports	Sensitivity/Response		Tier I - Level A	Melanoma	2.2018	true	true	BRAF V600K mutant melanoma is sensitive to dabrafenib and trametinib combination therapy	Combination treatment of BRAF inhibitor dabrafenib and MEK inhibitor trametinib is recommended for adjuvant treatment of stage III or recurrent melanoma with the less common BRAF V600K mutation detected by the approved THxID kit, as well as first line treatment for metastatic melanoma. This treatment combination was FDA approved based on studies including the Phase III COMBI-V, COMBI-D and COMBI-AD Trials. Combination therapy is now recommended above BRAF inhibitor monotherapy. Cutaneous squamous-cell carcinoma and keratoacanthoma occur at lower rates with combination therapy.	13	6179,4181,6941	2023-02-06 15:32:03 UTC	https://civicdb.org/links/assertions/13	https://civicdb.org/links/evidence_items/6179,https://civicdb.org/links/evidence_items/4181,https://civicdb.org/links/evidence_items/6941	https://civicdb.org/links/assertions/13	https://civicdb.org/links/molecular_profiles/559	false
VHL E70K (c.208G>A)	1832	Von Hippel-Lindau Disease	14175			Predisposing	Supports	Likely Pathogenic	PM1,PM2,PP1,PP4						VHL E70K (c.208G>A) is Likely Pathogenic	E70K missense variant occurs at a very low allele frequency in the general population (0.00001489 allele frequency in ExAC, 4.365e-6 allele frequency in gnomAD) and was previously identified in several unrelated individuals with VHL disease symptoms (see evidence statements). PM1 (6860); PM2 (per above); PP1 (5805); PP4 (5805;6742).	14	6860,5805,6742,6503,5780,5273	2023-01-09 21:47:55 UTC	https://civicdb.org/links/assertions/14	https://civicdb.org/links/evidence_items/6860,https://civicdb.org/links/evidence_items/5805,https://civicdb.org/links/evidence_items/6742,https://civicdb.org/links/evidence_items/6503,https://civicdb.org/links/evidence_items/5780,https://civicdb.org/links/evidence_items/5273	https://civicdb.org/links/assertions/14	https://civicdb.org/links/molecular_profiles/1832	false
VHL F76del (c.224_226delTCT)	1964	Von Hippel-Lindau Disease	14175			Predisposing	Supports	Pathogenic	PS2,PM2,PM4,PP1						The inframe variant, F76del, is pathogenic for Von Hippel-Lindau Disease.	EID5682 shows a large family with the variant cosegregating with affected individuals (PP1). However, confirmed de novo mutations are also described EID5340 (PS2). Both are supported by several other reports with familial and sporadic VHL and this variant. This inframe deletion is not in a repetitive region (PM4) and absent from gnomAD v2.1 (PM2).	17	5426,5750,5386,6121,5766,5744,5641,5749,6862,5682,6557,5340,5203	2023-01-09 21:47:55 UTC	https://civicdb.org/links/assertions/17	https://civicdb.org/links/evidence_items/5426,https://civicdb.org/links/evidence_items/5750,https://civicdb.org/links/evidence_items/5386,https://civicdb.org/links/evidence_items/6121,https://civicdb.org/links/evidence_items/5766,https://civicdb.org/links/evidence_items/5744,https://civicdb.org/links/evidence_items/5641,https://civicdb.org/links/evidence_items/5749,https://civicdb.org/links/evidence_items/6862,https://civicdb.org/links/evidence_items/5682,https://civicdb.org/links/evidence_items/6557,https://civicdb.org/links/evidence_items/5340,https://civicdb.org/links/evidence_items/5203	https://civicdb.org/links/assertions/17	https://civicdb.org/links/molecular_profiles/1964	false
VHL Q195* (c.583C>T)	1686	Von Hippel-Lindau Disease	14175	Cerebellar hemangioblastoma,Pheochromocytoma,Retinal capillary hemangioma		Predisposing	Supports	Pathogenic	PVS1,PM2,PP4						VHL nonsense variant Q195* (c.583C>T) is pathogenic for Von Hippel Landau Disease	VHL variant Q195* (c.583C>T) introduces an early stop codon resulting in a truncated protein. Loss of function VHL variants have been implicated with pathogenicity for Von Hippel Landau disease (PVS1), and this variant has been observed in patients with symptoms and family history highly characteristic of Von Hippel Landau disease (PP4). The variant does not appear in the gnomAD population database (PM2).	18	5404,5097,5134,5472,4987,5360,5691,6596,6623	2023-01-09 21:47:55 UTC	https://civicdb.org/links/assertions/18	https://civicdb.org/links/evidence_items/5404,https://civicdb.org/links/evidence_items/5097,https://civicdb.org/links/evidence_items/5134,https://civicdb.org/links/evidence_items/5472,https://civicdb.org/links/evidence_items/4987,https://civicdb.org/links/evidence_items/5360,https://civicdb.org/links/evidence_items/5691,https://civicdb.org/links/evidence_items/6596,https://civicdb.org/links/evidence_items/6623	https://civicdb.org/links/assertions/18	https://civicdb.org/links/molecular_profiles/1686	false
BRAF V600E	12	Colorectal Cancer	9256			Prognostic	Supports	Poor Outcome		Tier I - Level A	Colon Cancer	2.2017			BRAF V600E indicates poor prognosis in advanced colorectal cancer	BRAF V600E was associated with worse prognosis in Phase II and III colorectal cancer, with a stronger effect in MSI-Low or MSI-Stable tumors. In metastatic CRC, V600E was associated with worse prognosis, and meta-analysis showed BRAF mutation in CRC associated with multiple negative prognostic markers.	20	1552,7158,7157,7159,7156,103	2023-02-06 15:32:50 UTC	https://civicdb.org/links/assertions/20	https://civicdb.org/links/evidence_items/1552,https://civicdb.org/links/evidence_items/7158,https://civicdb.org/links/evidence_items/7157,https://civicdb.org/links/evidence_items/7159,https://civicdb.org/links/evidence_items/7156,https://civicdb.org/links/evidence_items/103	https://civicdb.org/links/assertions/20	https://civicdb.org/links/molecular_profiles/12	false
PRKACA DNAJB1::PRKACA	31	Fibrolamellar Carcinoma	5015			Diagnostic	Supports	Positive		Tier I - Level B					DNAJB1-PRKACA fusion is highly sensitive and specific for diagnosis of fibrolamellar hepatocellular carcinoma	A head-to-tail in-frame fusion between exon1 of DNAJB1 and exon2 of PRKACA, resulting from a ~400kb genomic deletion, has been reported has highly recurrent in fibrolamellar HCC. Detection of this fusion by RNAseq, RT-PCR and FISH has subsequently shown this fusion to be highly sensitive and specific for diagnosis of fibrolamellar HCC and mixed fibrolamellar HCC. Several hundred fibrolamellar HCC, non-FL HCC or non-malignant tissues have now been assayed to demonstrate this.	24	754,1643,405,532	2023-01-09 21:47:55 UTC	https://civicdb.org/links/assertions/24	https://civicdb.org/links/evidence_items/754,https://civicdb.org/links/evidence_items/1643,https://civicdb.org/links/evidence_items/405,https://civicdb.org/links/evidence_items/532	https://civicdb.org/links/assertions/24	https://civicdb.org/links/molecular_profiles/31	false
FLT3 D835	433	Acute Myeloid Leukemia	9119		Gilteritinib	Predictive	Supports	Sensitivity/Response		Tier I - Level A	Acute Myeloid Leukemia	1.2020	true	true	FLT3 tyrosine kinase domain mutations at residue D835 in relapsed / refractory acute myeloid leukemia (AML) are sensitive to Gilteritinib, a Type I FLT3 inhibitor.	Mutations in the FMS-like tyrosine kinase 3 (FLT3) gene are the most common mutations in acute myeloid leukemia (AML). 5 to 10% of AML is associated with activating point mutations in the FLT3 tyrosine kinase domain (TKD), particularly at the D835 residue. FLT3 D835 mutations are a common mechanism of clinical resistance to type II FLT3 inhibitors (sorafenib, quizartinib and ponatinib), which bind only the inactive kinase conformation. However, gilteritinib, a type I oral inhibitor of FLT3 and AXL, demonstrated preclinical activity against type II FLT3 inhibitor resistance-conferring D835 mutations and clinical activity as monotherapy in Relapsed/Refractory (R/R) FLT3-mutated AML in multiple clinical trials. The 2017 FDA approved FLT3 mutation companion diagnostic assay can detect a D835 or I836 mutation, but cannot distinguish which of these residues is mutated. In 2018, the US Food and Drug Administration (FDA) approved gilteritinib as the first FLT3 inhibitor indicated for use as monotherapy for R/R AML with FLT3 D835.	33	8106,8108,7728,7283,8351	2023-02-06 16:53:55 UTC	https://civicdb.org/links/assertions/33	https://civicdb.org/links/evidence_items/8106,https://civicdb.org/links/evidence_items/8108,https://civicdb.org/links/evidence_items/7728,https://civicdb.org/links/evidence_items/7283,https://civicdb.org/links/evidence_items/8351	https://civicdb.org/links/assertions/33	https://civicdb.org/links/molecular_profiles/433	false
ALK Fusion	495	Lung Non-small Cell Carcinoma	3908		Alectinib	Predictive	Supports	Sensitivity/Response		Tier I - Level A	Non-Small Cell Lung Cancer	6.2020	true	true	ALK fusion positive NSCLC is sensitive to alectinib	ALK fusions are found in approximately 5% of NSCLC patients. These fusions act as driver mutations through ligand-independent dimerization of ALK and constitutive downstream pathway activation. Alectinib in ALK-positive metastatic NSCLC has shown superior performance compared to first-line crizotinib in two phase 3 trials (civic:eid8657 and civic:eid7284). The VENTANA ALK (D5F3) CDx assay is FDA approved as companion diagnostic.	34	8657,1279,1272,1282,7284,1273	2023-02-04 00:36:40 UTC	https://civicdb.org/links/assertions/34	https://civicdb.org/links/evidence_items/8657,https://civicdb.org/links/evidence_items/1279,https://civicdb.org/links/evidence_items/1272,https://civicdb.org/links/evidence_items/1282,https://civicdb.org/links/evidence_items/7284,https://civicdb.org/links/evidence_items/1273	https://civicdb.org/links/assertions/34	https://civicdb.org/links/molecular_profiles/495	false
FLT3 ITD	55	Acute Myeloid Leukemia	9119		Gilteritinib	Predictive	Supports	Sensitivity/Response		Tier I - Level A	Acute Myeloid Leukemia	2.2021	true	true	FLT3 internal tandem duplication (ITD) mutations in relapsed / refractory acute myeloid leukemia (AML) are sensitive to Gilteritinib, a Type I FLT3 inhibitor.	The constitutively activating FLT3 internal tandem duplication (ITD) mutation appears in approximately 20-30% of AML patients and are associated with high risk, high relapse rates and poor clinical outcome. The type I selective second-generation oral inhibitor, gilteritinib, received initial global approval for use to treat adults with relapsed or refractory (R/R) FLT3 ITD positive AML in Japan in September 2018. Based on interim results of the ADMIRAL trail (Perl AE, et al., 2019), the FDA approved the drug for treatment of adult R/R AML with FLT3 ITD mutations in November 2018. The FDA approved companion diagnostic, LeukoStrat CDx FLT3 Mutation assay.	38	7728,7283,8924,8923	2023-02-06 15:50:11 UTC	https://civicdb.org/links/assertions/38	https://civicdb.org/links/evidence_items/7728,https://civicdb.org/links/evidence_items/7283,https://civicdb.org/links/evidence_items/8924,https://civicdb.org/links/evidence_items/8923	https://civicdb.org/links/assertions/38	https://civicdb.org/links/molecular_profiles/55	false
