From	To	Reaction Type	Controller	Control Type	Cell Type	PMIDs	Genes	Drugs	Diseases	Summary
3,4-dihydroxyphenylacetaldehyde	3,4-dihydroxyphenylacetic acid	Biochemical Reaction	ALDH1A1, ALDH2	Gene	neuron	22544865, 19720750				Biochemical reaction from 3,4-dihydroxyphenylacetaldehyde to 3,4-dihydroxyphenylacetic acid. This interaction can be catalyzed by ALDH2 or ALDH1A1.
levodopa	dopamine	Biochemical Reaction	DDC	Gene	neuron	19720750		levodopa		Biochemical reaction from levodopa to dopamine. This interaction is catalyzed by DDC.
dopamine	3,4-dihydroxyphenylacetaldehyde	Biochemical Reaction	MAOA, MAOB	Gene	neuron	19720750, 434246				Biochemical reaction from dopamine to 3,4-dihydroxyphenylacetaldehyde. This interaction can be catalyzed by MAOA or MAOB.
dopamine	3-methoxytyramine	Biochemical Reaction	COMT	Gene	neuron, null	19720750, 434246				Biochemical reaction from dopamine to 3-methoxytyramine. This interaction is catalyzed by COMT.
homovanillin	homovanillic acid	Biochemical Reaction	ALDH1A1, ALDH2	Gene	null	22544865, 19720750				Biochemical reaction from homovanillin to homovanillic acid. This interaction can be catalyzed by ALDH1A1 or ALDH2.
3-methoxytyramine	homovanillin	Biochemical Reaction	MAOA, MAOB	Gene	null	19720750, 434246				Biochemical reaction from 3-methoxytyramine to homovanillin. This interaction can be catalyzed by MAOA or MAOB.
3,4-dihydroxyphenylacetic acid	homovanillic acid	Biochemical Reaction	COMT	Gene	neuron, null	19720750, 434246				Biochemical reaction from 3,4-dihydroxyphenylacetic acid to homovanillic acid. This interaction is catalyzed by COMT.
l-tyrosine	levodopa	Biochemical Reaction	TH	Gene	neuron	19720750		levodopa		Biochemical reaction from l-tyrosine to levodopa. This interaction is catalyzed by TH.
disulfiram	ALDH1A1	Inhibition			neuron	22544865	ALDH1A1	disulfiram		disulfiram inhibits ALDH1A1.
disulfiram	ALDH2	Inhibition			neuron	22544865	ALDH2	disulfiram		disulfiram inhibits ALDH2.
